iter	RMSE
0	1437.435975
1	1437.243955
2	1437.059951
3	1436.935442
4	1436.705336
5	1436.427093
6	1436.256428
7	1436.066232
8	1435.982056
9	1435.745751
10	1435.61164
11	1435.281876
12	1435.132455
13	1434.86154
14	1434.639378
15	1434.315622
16	1434.028892
17	1433.898304
18	1433.746907
19	1433.479196
20	1433.122422
21	1432.998625
22	1432.809086
23	1432.558632
24	1432.41649
25	1432.148653
26	1431.978643
27	1431.843652
28	1431.708059
29	1431.373137
30	1431.157646
31	1430.985371
32	1430.745493
33	1430.621895
34	1430.487782
35	1430.229356
36	1430.084873
37	1429.906513
38	1429.735512
39	1429.511495
40	1429.242489
41	1429.073292
42	1428.922301
43	1428.77498
44	1428.454744
45	1428.262587
46	1428.090488
47	1427.856835
48	1427.682364
49	1427.377627
50	1427.265187
51	1427.042455
52	1426.860997
53	1426.693737
54	1426.53513
55	1426.377012
56	1426.204963
57	1426.116435
58	1425.975743
59	1425.756933
60	1425.596721
61	1425.396878
62	1425.169663
63	1425.002958
64	1424.755145
65	1424.532144
66	1424.382582
67	1424.230944
68	1424.077316
69	1423.98183
70	1423.66579
71	1423.540569
72	1423.40438
73	1423.271118
74	1423.171291
75	1423.044733
76	1422.738631
77	1422.55413
78	1422.331731
79	1422.112565
80	1422.00349
81	1421.904772
82	1421.698102
83	1421.566964
84	1421.331592
85	1421.180038
86	1421.060117
87	1420.902431
88	1420.724318
89	1420.418513
90	1420.210134
91	1420.024172
92	1419.905424
93	1419.723225
94	1419.593496
95	1419.386236
96	1419.224901
97	1419.094588
98	1418.922232
99	1418.746585
100	1418.582049
101	1418.499635
102	1418.303766
103	1418.161386
104	1417.96758
105	1417.853234
106	1417.759191
107	1417.564959
108	1417.342453
109	1417.163523
110	1416.883082
111	1416.628247
112	1416.465686
113	1416.226448
114	1416.110288
115	1415.973372
116	1415.808124
117	1415.49115
118	1415.079182
119	1414.673001
120	1414.35445
121	1413.994325
122	1413.85263
123	1413.540261
124	1413.290709
125	1413.084774
126	1412.875611
127	1412.591962
128	1412.231714
129	1411.758018
130	1411.555138
131	1411.388241
132	1411.104718
133	1410.900701
134	1410.721943
135	1410.572229
136	1410.242769
137	1409.993102
138	1409.193033
139	1408.931449
140	1408.592236
141	1408.415227
142	1407.878452
143	1407.515603
144	1407.362625
145	1407.097429
146	1406.473425
147	1405.989531
148	1405.764836
149	1405.448585
150	1405.383541
151	1404.817994
152	1404.265509
153	1403.756047
154	1403.285917
155	1403.137296
156	1402.768007
157	1402.59061
158	1402.35707
159	1401.9818
160	1401.525913
161	1401.411452
162	1401.052992
163	1400.819411
164	1400.577322
165	1400.372518
166	1399.89317
167	1399.720855
168	1399.566432
169	1399.10323
170	1398.987707
171	1398.609524
172	1398.144571
173	1397.618294
174	1397.370995
175	1396.971568
176	1396.570721
177	1396.343644
178	1396.232173
179	1395.964956
180	1395.572007
181	1395.383154
182	1395.078852
183	1394.570967
184	1394.23873
185	1393.894755
186	1393.569361
187	1393.179648
188	1392.886479
189	1392.762881
190	1392.302588
191	1391.859272
192	1391.609198
193	1391.270823
194	1391.164225
195	1390.717587
196	1390.624237
197	1390.430246
198	1390.134982
199	1389.932128
200	1389.747755
201	1389.458789
202	1389.092709
203	1388.936619
204	1388.646985
205	1388.262596
206	1387.824635
207	1387.532267
208	1387.080705
209	1386.957357
210	1386.803145
211	1386.499525
212	1386.086315
213	1385.793211
214	1385.342122
215	1385.090233
216	1384.711211
217	1384.610833
218	1384.406623
219	1384.150309
220	1383.791609
221	1383.66325
222	1383.437466
223	1383.24014
224	1382.750092
225	1382.578797
226	1382.458775
227	1382.310785
228	1381.902948
229	1381.710227
230	1381.465665
231	1381.228481
232	1380.766627
233	1380.323053
234	1379.941502
235	1379.466388
236	1379.055988
237	1378.658743
238	1378.460471
239	1377.702841
240	1377.25167
241	1376.869801
242	1376.712906
243	1376.374557
244	1375.966125
245	1375.860093
246	1375.68367
247	1375.269777
248	1374.981672
249	1374.753112
