iter	Passed	Remaining
0	231	57727
1	323	40072
2	423	34882
3	471	28990
4	564	27650
5	669	27217
6	779	27047
7	880	26632
8	994	26635
9	1113	26717
10	1231	26762
11	1343	26649
12	1461	26646
13	1577	26587
14	1694	26544
15	1803	26374
16	1920	26325
17	2027	26127
18	2133	25942
19	2238	25744
20	2343	25551
21	2448	25380
22	2554	25211
23	2660	25051
24	2773	24960
25	2884	24854
26	2997	24755
27	3107	24636
28	3218	24525
29	3328	24406
30	3439	24298
31	3553	24206
32	3671	24142
33	3785	24050
34	3896	23932
35	4011	23847
36	4163	23968
37	4286	23916
38	4403	23826
39	4524	23752
40	4648	23695
41	4762	23584
42	4875	23470
43	4989	23361
44	5101	23240
45	5215	23128
46	5326	23007
47	5438	22885
48	5563	22820
49	5686	22744
50	5804	22650
51	5918	22534
52	6027	22405
53	6138	22282
54	6250	22161
55	6362	22041
56	6471	21913
57	6575	21767
58	6676	21614
59	6779	21468
60	6889	21345
61	6993	21204
62	7100	21076
63	7204	20938
64	7311	20810
65	7422	20692
66	7526	20557
67	7628	20417
68	7739	20300
69	7847	20179
70	7955	20056
71	8068	19947
72	8190	19859
73	8332	19817
74	8455	19729
75	8583	19651
76	8704	19556
77	8825	19462
78	8945	19363
79	9061	19254
80	9168	19128
81	9279	19011
82	9386	18886
83	9499	18773
84	9614	18663
85	9724	18544
86	9830	18418
87	9934	18289
88	10059	18197
89	10189	18113
90	10297	17993
91	10406	17872
92	10516	17753
93	10624	17632
94	10732	17510
95	10840	17390
96	10947	17267
97	11063	17159
98	11174	17043
99	11277	16916
100	11381	16791
101	11493	16676
102	11598	16553
103	11703	16429
104	11807	16306
105	11918	16191
106	12043	16095
107	12166	15997
108	12289	15896
109	12402	15784
110	12511	15667
111	12621	15550
112	12732	15436
113	12838	15316
114	12948	15199
115	13050	15075
116	13159	14958
117	13265	14839
118	13369	14718
119	13489	14614
120	13602	14502
121	13712	14387
122	13824	14273
123	13931	14156
124	14036	14036
125	14138	13913
126	14245	13796
127	14350	13677
128	14454	13557
129	14558	13438
130	14664	13321
131	14771	13205
132	14881	13091
133	14986	12973
134	15090	12854
135	15195	12737
136	15300	12620
137	15404	12501
138	15515	12390
139	15637	12286
140	15761	12184
141	15874	12073
142	15994	11967
143	16113	11861
144	16230	11752
145	16342	11641
146	16470	11540
147	16594	11436
148	16713	11329
149	16855	11237
150	16983	11135
151	17110	11031
152	17232	10925
153	17369	10827
154	17495	10723
155	17626	10620
156	17756	10518
157	17881	10411
158	18002	10303
159	18124	10194
160	18241	10083
161	18369	9978
162	18484	9865
163	18599	9753
164	18710	9638
165	18825	9526
166	18955	9420
167	19068	9307
168	19178	9192
169	19296	9080
170	19410	8967
171	19524	8854
172	19638	8740
173	19759	8630
174	19926	8539
175	20052	8431
176	20182	8323
177	20301	8211
178	20416	8098
179	20529	7983
180	20637	7867
181	20748	7752
182	20852	7634
183	20964	7519
184	21077	7405
185	21185	7289
186	21292	7173
187	21407	7060
188	21514	6943
189	21617	6826
190	21721	6709
191	21826	6593
192	21936	6478
193	22042	6362
194	22150	6247
195	22260	6132
196	22373	6019
197	22484	5904
198	22593	5790
199	22695	5673
200	22799	5558
201	22909	5443
202	23016	5328
203	23124	5214
204	23230	5099
205	23339	4985
206	23450	4871
207	23557	4756
208	23667	4642
209	23774	4528
210	23876	4413
211	23981	4298
212	24086	4184
213	24193	4069
214	24298	3955
215	24405	3841
216	24512	3727
217	24617	3613
218	24726	3500
219	24834	3386
220	24938	3272
221	25043	3158
222	25151	3045
223	25253	2931
224	25359	2817
225	25462	2703
226	25566	2590
227	25673	2477
228	25779	2364
229	25885	2250
230	25987	2137
231	26093	2024
232	26200	1911
233	26305	1798
234	26407	1685
235	26511	1572
236	26617	1460
237	26717	1347
238	26822	1234
239	26930	1122
240	27032	1009
241	27137	897
242	27238	784
243	27340	672
244	27444	560
245	27548	447
246	27651	335
247	27758	223
248	27863	111
249	27968	0
